,Date,Adj Close,Close,High,Low,Open,Volume,Sentiment
0,2013-06-03,-2.51282687496601,-2.51282687496601,-2.470866641139146,-2.5456325816224483,-2.4340197949157694,2.750299713846463,0
1,2013-06-04,-2.4770991183471645,-2.4770991183471645,-2.4897025565692994,-2.478801297998474,-2.511419474255482,0.41468299098639316,0
2,2013-06-05,-2.4686834078127475,-2.4686834078127475,-2.4653728886074737,-2.5317830578615137,-2.496956625802852,1.1797913737645054,1
3,2013-06-06,-2.437243009246261,-2.437243009246261,-2.444967201287229,-2.435159598538358,-2.4716865415028333,0.5634029627984001,0
4,2013-06-07,-2.3627703653121035,-2.3627703653121035,-2.3879884785213767,-2.4095542551150473,-2.4279804973575048,0.8361092397603377,0
5,2013-06-10,-2.3943696558734837,-2.3943696558734837,-2.393953095257529,-2.379440139439221,-2.4131998090875895,0.4992862125807313,0
6,2013-06-11,-2.4829744877452042,-2.4829744877452042,-2.4542280919965673,-2.452229789092482,-2.4251197116487075,0.08260682912577107,0
7,2013-06-12,-2.4312089750041426,-2.4312089750041426,-2.425974218851337,-2.4248531422842543,-2.447052250514001,0.4911325061237199,0
8,2013-06-13,-2.424063491825618,-2.424063491825618,-2.4448101342814903,-2.43499868614216,-2.412087256050476,-0.2427237872815575,0
9,2013-06-14,-2.3903998546600977,-2.3903998546600977,-2.393953095257529,-2.3672010066670053,-2.3961940147434473,-0.10574606125861709,0
10,2013-06-17,-2.3602299106003186,-2.3602299106003186,-2.358949831702013,-2.3370866606226803,-2.338978641597344,0.008155994122753541,0
11,2013-06-18,-2.341333802201122,-2.341333802201122,-2.3710361321800564,-2.369294595581315,-2.3683812119051475,0.4008739282402569,-1
12,2013-06-19,-2.3208499096070603,-2.3208499096070603,-2.3288123894679504,-2.3240425051324793,-2.3634542400307654,0.3517245667556535,-1
13,2013-06-20,-2.384842269251846,-2.384842269251846,-2.321591798040448,-2.365268560517392,-2.322290914423718,0.698677268252327,0
14,2013-06-21,-2.4023091447248484,-2.4023091447248484,-2.3754313138388534,-2.3966712423895427,-2.3373895561875337,1.0648218414932196,1
15,2013-06-24,-2.371503973411716,-2.371503973411716,-2.3884594549967693,-2.4320999593256154,-2.451820188803125,0.020329773122636823,1
